Nombre,Sitio,País,Precio actual,Mínimo 15 días,Promedio 15 días,Notas,Dependencia idioma,Ranking BGG
https://www.boardgamegeek.com/boardgame/294612++Unlock!: Epic Adventures,https://www.planetongames.com/es/unlock-7-aventuras-epicas-p-8880.html++Planeton (precio aproximado),es,$153094,$148706,$150642,,Injugable en otro idioma,896
https://www.boardgamegeek.com/boardgame/213460++Unlock!: Escape Adventures,https://www.planetongames.com/es/unlock-p-6742.html++Planeton (precio aproximado),es,$153094,$148706,$150642,,Alta dependencia,Sin datos
https://www.boardgamegeek.com/boardgame/254226++Unlock!: Exotic Adventures,https://www.planetongames.com/es/unlock-4-aventuras-exoticas-p-8067.html++Planeton (precio aproximado),es,$153119,$148731,$150667,,Injugable en otro idioma,Sin datos
https://www.boardgamegeek.com/boardgame/266121++Unlock!: Heroic Adventures,https://www.planetongames.com/es/unlock-5-aventuras-heroicas-p-8283.html++Planeton (precio aproximado),es,$145064,$140922,$142753,,Alta dependencia,633
https://www.boardgamegeek.com/boardgame/330084++Unlock!: Legendary Adventures,https://www.planetongames.com/es/unlock-9-aventuras-legendarias-p-10021.html++Planeton (precio aproximado),es,$129003,$121485,$125211,,No hay datos,2232
https://www.boardgamegeek.com/boardgame/228867++Unlock!: Mystery Adventures,https://www.planetongames.com/es/unlock-2-aventuras-de-misterio-p-7185.html++Planeton (precio aproximado),es,$153094,$148706,$150642,,Injugable en otro idioma,Sin datos
https://www.boardgamegeek.com/boardgame/302425++Unlock!: Mythic Adventures,https://www.planetongames.com/es/unlock-8-aventuras-miticas-p-9441.html++Planeton (precio aproximado),es,$122604,$119150,$120689,,Poco texto,1295
https://www.boardgamegeek.com/boardgame/239307++Unlock!: Secret Adventures,https://www.planetongames.com/es/unlock-3-aventuras-secretas-p-7559.html++Planeton (precio aproximado),es,$122604,$119150,$120689,,Cantidad de texto moderada,Sin datos
https://www.boardgamegeek.com/boardgame/279613++Unlock!: Timeless Adventures,https://www.planetongames.com/es/unlock-6-aventuras-eternas-p-8652.html++Planeton (precio aproximado),es,$153094,$148706,$150642,,Alta dependencia,745
"https://www.boardgamegeek.com/boardgame/274637++Unmatched: Battle of Legends, Volume One",https://www.planetongames.com/es/unmatched-battle-of-legends-volumen-1-p-9297.html++Planeton (precio aproximado),es,$179197,$174010,$176285,,Cantidad de texto moderada,257
https://www.boardgamegeek.com/boardgame/294484++Unmatched: Cobble &amp; Fog,https://www.planetongames.com/es/unmatched-cobble-fog-p-9459.html++Planeton (precio aproximado),es,$179197,$174010,$176285,,Cantidad de texto moderada,184
https://www.boardgamegeek.com/boardgame/175640++Vinhos: Deluxe Edition,https://www.planetongames.com/es/vinhos-deluxe-p-2573.html++Planeton (precio aproximado),es,$448604,$435169,$440948,,Sin texto,127
https://www.boardgamegeek.com/boardgame/360226++Viticulture World: Cooperative Expansion,https://www.planetongames.com/es/viticulture-wine-crate-p-10185.html++Planeton (precio aproximado),es,$298778,$289930,$293761,,No hay datos,Sin datos
https://www.boardgamegeek.com/boardgame/354254++Voices In My Head,https://www.planetongames.com/es/voces-en-mi-cabeza-p-9904.html++Planeton (precio aproximado),es,$178787,$173613,$175883,,No hay datos,7064
https://www.boardgamegeek.com/boardgame/195560++Wasteland Express Delivery Service,https://www.planetongames.com/es/wasteland-express-delivery-service-p-8373.html++Planeton (precio aproximado),es,$252292,$244867,$248093,,Cantidad de texto moderada,1003
https://www.boardgamegeek.com/boardgame/266192++Wingspan,https://www.planetongames.com/es/wingspan-p-8175.html++Planeton (precio aproximado),es,$202652,$196747,$199328,,Alta dependencia,25
https://www.boardgamegeek.com/boardgame/290448++Wingspan: European Expansion,https://www.planetongames.com/es/wingspan-expansion-europea-p-8694.html++Planeton (precio aproximado),es,$141425,$137394,$139179,,Alta dependencia,Sin datos
https://www.boardgamegeek.com/boardgame/300580++Wingspan: Oceania Expansion,https://www.planetongames.com/es/wingspan-oceania-p-9238.html++Planeton (precio aproximado),es,$152718,$148341,$150272,,Alta dependencia,Sin datos
